Year,Office,Value
1980,Zimbabwe,12.0
1981,Africa,1376.0
1981,African Intellectual Property Organization,227.0
1981,African Regional Intellectual Property Organization,0.0
1981,Algeria,0.0
1981,Argentina,602.0
1981,Armenia,0.0
1981,Asia,36175.0
1981,Australia,2240.0
1981,Austria,765.0
1981,Belarus,0.0
1981,Belgium,927.0
1981,Bosnia and Herzegovina,0.0
1981,Brazil,1304.0
1981,Bulgaria,214.0
1981,Canada,4160.0
1981,Chile,0.0
1981,China,0.0
1981,"China, Hong Kong SAR",138.0
1981,Colombia,0.0
1981,Costa Rica,0.0
1981,Croatia,0.0
1981,Cuba,17.0
1981,Cyprus,10.0
1981,Czech Republic,0.0
1981,Czechoslovakia,1213.0
1981,Denmark,1045.0
1981,Dominican Republic,0.0
1981,Ecuador,0.0
1981,Egypt,53.0
1981,El Salvador,0.0
1981,Estonia,0.0
1981,Eurasian Patent Organization,0.0
1981,Europe,60010.0
1981,European Patent Office,4321.0
1981,Finland,725.0
1981,France,5555.0
1981,Georgia,0.0
1981,German Democratic Republic,1062.0
1981,Germany,7845.0
1981,Greece,196.0
1981,Guatemala,23.0
1981,Honduras,0.0
1981,Hungary,290.0
1981,Iceland,11.0
1981,India,0.0
1981,Indonesia,0.0
1981,Ireland,531.0
1981,Israel,434.0
1981,Italy,3304.0
1981,Japan,35105.0
1981,Jordan,0.0
1981,Kazakhstan,0.0
1981,Kenya,22.0
1981,Latin America and the Caribbean,2404.0
1981,Latvia,0.0
1981,Lithuania,0.0
1981,Luxembourg,111.0
1981,Malawi,8.0
1981,Malaysia,73.0
1981,Malta,3.0
1981,Mexico,458.0
1981,Monaco,21.0
1981,Mongolia,4.0
1981,Montenegro,0.0
1981,Morocco,33.0
1981,Netherlands (Kingdom of the),1031.0
1981,New Zealand,276.0
1981,Nicaragua,0.0
1981,Northern America,16384.0
1981,Norway,732.0
1981,Oceania,2516.0
1981,Panama,0.0
1981,Patent Office of the Cooperation Council for the Arab States of the Gulf,0.0
1981,Peru,0.0
1981,Philippines,153.0
1981,Poland,1353.0
1981,Portugal,428.0
1981,Republic of Korea,233.0
1981,Republic of Moldova,0.0
1981,Romania,840.0
1981,Russian Federation,0.0
1981,San Marino,0.0
1981,Saudi Arabia,0.0
1981,Serbia,0.0
1981,Singapore,0.0
1981,Slovakia,0.0
1981,Slovenia,0.0
1981,South Africa,977.0
1981,Soviet Union,13888.0
1981,Spain,1296.0
1981,Sweden,1370.0
1981,Switzerland,1044.0
1981,Tajikistan,0.0
1981,Tunisia,0.0
1981,Türkiye,25.0
1981,Ukraine,0.0
1981,United Kingdom,9712.0
1981,United States of America,12224.0
1981,Uruguay,0.0
1981,Uzbekistan,0.0
1981,Viet Nam,0.0
1981,World,119663.0
1981,Yugoslavia,177.0
1981,Zambia,12.0
1981,Zimbabwe,44.0
1982,Africa,1505.0
1982,African Intellectual Property Organization,26.0
1982,African Regional Intellectual Property Organization,0.0
1982,Algeria,0.0
1982,Argentina,519.0
1982,Armenia,0.0
1982,Asia,45062.0
1982,Australia,2356.0
1982,Austria,634.0
1982,Belarus,0.0
1982,Belgium,715.0
1982,Bosnia and Herzegovina,0.0
1982,Brazil,1265.0
1982,Bulgaria,286.0
1982,Canada,4315.0
1982,Chile,0.0
1982,China,0.0
1982,"China, Hong Kong SAR",104.0
1982,Colombia,0.0
1982,Costa Rica,0.0
1982,Croatia,0.0
1982,Cuba,31.0
1982,Cyprus,13.0
1982,Czech Republic,0.0
1982,Czechoslovakia,1042.0
1982,Denmark,1047.0
1982,Dominican Republic,0.0
1982,Ecuador,0.0
1982,Egypt,49.0
1982,El Salvador,0.0
1982,Estonia,0.0
1982,Eurasian Patent Organization,0.0
1982,Europe,55826.0
1982,European Patent Office,4946.0
1982,Finland,1166.0
1982,France,4535.0
1982,Georgia,0.0
1982,German Democratic Republic,691.0
1982,Germany,8983.0
1982,Greece,239.0
1982,Guatemala,20.0
1982,Honduras,0.0
1982,Hungary,399.0
1982,Iceland,9.0
1982,India,0.0
1982,Indonesia,0.0
1982,Ireland,593.0
1982,Israel,596.0
1982,Italy,3040.0
1982,Japan,43823.0
1982,Jordan,6.0
1982,Kazakhstan,0.0
1982,Kenya,19.0
1982,Latin America and the Caribbean,2358.0
1982,Latvia,0.0
1982,Lithuania,0.0
1982,Luxembourg,83.0
1982,Malawi,5.0
1982,Malaysia,71.0
1982,Malta,2.0
1982,Mexico,523.0
1982,Monaco,21.0
1982,Mongolia,0.0
1982,Montenegro,0.0
1982,Morocco,36.0
1982,Netherlands (Kingdom of the),910.0
1982,New Zealand,283.0
1982,Nicaragua,0.0
1982,Northern America,15601.0
1982,Norway,761.0
1982,Oceania,2639.0
1982,Panama,0.0
1982,Patent Office of the Cooperation Council for the Arab States of the Gulf,0.0
1982,Peru,0.0
1982,Philippines,120.0
1982,Poland,853.0
1982,Portugal,429.0
1982,Republic of Korea,295.0
1982,Republic of Moldova,0.0
1982,Romania,572.0
1982,Russian Federation,0.0
1982,San Marino,0.0
1982,Saudi Arabia,0.0
1982,Serbia,0.0
1982,Singapore,0.0
1982,Slovakia,0.0
1982,Slovenia,0.0
1982,South Africa,1318.0
1982,Soviet Union,13814.0
1982,Spain,1502.0
1982,Sweden,1685.0
1982,Switzerland,1152.0
1982,Tajikistan,0.0
1982,Tunisia,0.0
1982,Türkiye,34.0
1982,Ukraine,0.0
1982,United Kingdom,4158.0
1982,United States of America,11286.0
1982,Uruguay,0.0
1982,Uzbekistan,0.0
1982,Viet Nam,0.0
1982,World,123928.0
1982,Yugoslavia,1559.0
1982,Zambia,8.0
1982,Zimbabwe,44.0
1983,Africa,1632.0
1983,African Intellectual Property Organization,33.0
1983,African Regional Intellectual Property Organization,0.0
1983,Algeria,0.0
1983,Argentina,369.0
1983,Armenia,0.0
1983,Asia,49311.0
1983,Australia,2364.0
1983,Austria,651.0
1983,Belarus,0.0
1983,Belgium,624.0
1983,Bosnia and Herzegovina,0.0
1983,Brazil,1432.0
1983,Bulgaria,266.0
1983,Canada,3907.0
1983,Chile,0.0
1983,China,0.0
1983,"China, Hong Kong SAR",159.0
1983,Colombia,0.0
1983,Costa Rica,0.0
1983,Croatia,0.0
1983,Cuba,12.0
1983,Cyprus,17.0
1983,Czech Republic,0.0
1983,Czechoslovakia,1002.0
1983,Denmark,1693.0
1983,Dominican Republic,3.0
1983,Ecuador,0.0
1983,Egypt,50.0
1983,El Salvador,0.0
1983,Estonia,0.0
1983,Eurasian Patent Organization,0.0
1983,Europe,54609.0
1983,European Patent Office,5832.0
1983,Finland,1028.0
1983,France,4054.0
1983,Georgia,0.0
1983,German Democratic Republic,1172.0
1983,Germany,8059.0
1983,Greece,194.0
1983,Guatemala,27.0
1983,Honduras,0.0
1983,Hungary,506.0
1983,Iceland,13.0
1983,India,0.0
1983,Indonesia,0.0
1983,Ireland,554.0
1983,Israel,567.0
1983,Italy,2113.0
1983,Japan,46683.0
1983,Jordan,4.0
1983,Kazakhstan,0.0
1983,Kenya,25.0
1983,Latin America and the Caribbean,2263.0
1983,Latvia,0.0
1983,Lithuania,0.0
1983,Luxembourg,130.0
1983,Malawi,5.0
1983,Malaysia,56.0
1983,Malta,2.0
1983,Mexico,420.0
1983,Monaco,12.0
1983,Mongolia,9.0
1983,Montenegro,0.0
1983,Morocco,42.0
1983,Netherlands (Kingdom of the),854.0
1983,New Zealand,252.0
1983,Nicaragua,0.0
1983,Northern America,14686.0
1983,Norway,748.0
1983,Oceania,2616.0
1983,Panama,0.0
1983,Patent Office of the Cooperation Council for the Arab States of the Gulf,0.0
1983,Peru,0.0
1983,Philippines,267.0
1983,Poland,738.0
1983,Portugal,408.0
1983,Republic of Korea,1479.0
1983,Republic of Moldova,0.0
1983,Romania,442.0
1983,Russian Federation,0.0
1983,San Marino,0.0
1983,Saudi Arabia,0.0
1983,Serbia,0.0
1983,Singapore,46.0
1983,Slovakia,0.0
1983,Slovenia,0.0
1983,South Africa,1434.0
1983,Soviet Union,11142.0
1983,Spain,1690.0
1983,Sweden,1536.0
1983,Switzerland,1093.0
1983,Tajikistan,0.0
1983,Tunisia,0.0
1983,Türkiye,24.0
1983,Ukraine,0.0
1983,United Kingdom,6965.0
1983,United States of America,10779.0
1983,Uruguay,0.0
1983,Uzbekistan,0.0
1983,Viet Nam,0.0
1983,World,126072.0
1983,Yugoslavia,1088.0
1983,Zambia,7.0
1983,Zimbabwe,36.0
1984,Africa,1556.0
1984,African Intellectual Property Organization,59.0
1984,African Regional Intellectual Property Organization,1.0
1984,Algeria,0.0
1984,Argentina,362.0
1984,Armenia,0.0
1984,Asia,50762.0
1984,Australia,2528.0
1984,Austria,565.0
1984,Belarus,0.0
1984,Belgium,524.0
1984,Bosnia and Herzegovina,0.0
1984,Brazil,1138.0
1984,Bulgaria,259.0
1984,Canada,3929.0
1984,Chile,0.0
1984,China,0.0
1984,"China, Hong Kong SAR",227.0
1984,Colombia,0.0
1984,Costa Rica,0.0
1984,Croatia,0.0
1984,Cuba,0.0
1984,Cyprus,20.0
1984,Czech Republic,0.0
1984,Czechoslovakia,1423.0
1984,Denmark,1322.0
1984,Dominican Republic,0.0
1984,Ecuador,0.0
1984,Egypt,41.0
1984,El Salvador,0.0
1984,Estonia,0.0
1984,Eurasian Patent Organization,0.0
1984,Europe,51377.0
1984,European Patent Office,6464.0
1984,Finland,1027.0
1984,France,3648.0
1984,Georgia,0.0
1984,German Democratic Republic,1663.0
1984,Germany,7228.0
1984,Greece,1582.0
1984,Guatemala,24.0
1984,Honduras,0.0
1984,Hungary,555.0
1984,Iceland,5.0
1984,India,0.0
1984,Indonesia,0.0
1984,Ireland,521.0
1984,Israel,724.0
1984,Italy,2013.0
1984,Japan,47706.0
1984,Jordan,0.0
1984,Kazakhstan,0.0
1984,Kenya,30.0
1984,Latin America and the Caribbean,1843.0
1984,Latvia,0.0
1984,Lithuania,0.0
1984,Luxembourg,82.0
1984,Malawi,7.0
1984,Malaysia,84.0
1984,Malta,8.0
1984,Mexico,319.0
1984,Monaco,15.0
1984,Mongolia,3.0
1984,Montenegro,0.0
1984,Morocco,42.0
1984,Netherlands (Kingdom of the),798.0
1984,New Zealand,520.0
1984,Nicaragua,0.0
1984,Northern America,17088.0
1984,Norway,830.0
1984,Oceania,3048.0
1984,Panama,0.0
1984,Patent Office of the Cooperation Council for the Arab States of the Gulf,0.0
1984,Peru,0.0
1984,Philippines,259.0
1984,Poland,686.0
1984,Portugal,417.0
1984,Republic of Korea,1631.0
1984,Republic of Moldova,0.0
1984,Romania,507.0
1984,Russian Federation,0.0
1984,San Marino,0.0
1984,Saudi Arabia,0.0
1984,Serbia,0.0
1984,Singapore,80.0
1984,Slovakia,0.0
1984,Slovenia,0.0
1984,South Africa,1336.0
1984,Soviet Union,10041.0
1984,Spain,1573.0
1984,Sweden,1068.0
1984,Switzerland,1208.0
1984,Tajikistan,0.0
1984,Tunisia,0.0
1984,Türkiye,28.0
1984,Ukraine,0.0
1984,United Kingdom,5084.0
1984,United States of America,13159.0
1984,Uruguay,0.0
1984,Uzbekistan,0.0
1984,Viet Nam,0.0
1984,World,126795.0
1984,Yugoslavia,261.0
1984,Zambia,9.0
1984,Zimbabwe,31.0
1985,Africa,1585.0
1985,African Intellectual Property Organization,61.0
1985,African Regional Intellectual Property Organization,1.0
1985,Algeria,0.0
1985,Argentina,92.0
1985,Armenia,0.0
1985,Asia,55919.0
1985,Australia,2787.0
1985,Austria,429.0
1985,Belarus,0.0
1985,Belgium,519.0
1985,Bosnia and Herzegovina,0.0
1985,Brazil,1269.0
1985,Bulgaria,274.0
1985,Canada,3607.0
1985,Chile,0.0
1985,China,40.0
1985,"China, Hong Kong SAR",239.0
1985,Colombia,0.0
1985,Costa Rica,0.0
1985,Croatia,0.0
1985,Cuba,16.0
1985,Cyprus,15.0
1985,Czech Republic,0.0
1985,Czechoslovakia,1674.0
1985,Denmark,1310.0
1985,Dominican Republic,0.0
1985,Ecuador,0.0
1985,Egypt,57.0
1985,El Salvador,0.0
1985,Estonia,0.0
1985,Eurasian Patent Organization,0.0
1985,Europe,57243.0
1985,European Patent Office,7339.0
1985,Finland,1035.0
1985,France,3827.0
1985,Georgia,0.0
1985,German Democratic Republic,2217.0
1985,Germany,7628.0
1985,Greece,509.0
1985,Guatemala,34.0
1985,Honduras,0.0
1985,Hungary,1089.0
1985,Iceland,10.0
1985,India,0.0
1985,Indonesia,0.0
1985,Ireland,597.0
1985,Israel,701.0
1985,Italy,6885.0
1985,Japan,52597.0
1985,Jordan,6.0
1985,Kazakhstan,0.0
1985,Kenya,27.0
1985,Latin America and the Caribbean,1668.0
1985,Latvia,0.0
1985,Lithuania,0.0
1985,Luxembourg,77.0
1985,Malawi,7.0
1985,Malaysia,192.0
1985,Malta,6.0
1985,Mexico,257.0
1985,Monaco,18.0
1985,Mongolia,4.0
1985,Montenegro,0.0
1985,Morocco,51.0
1985,Netherlands (Kingdom of the),729.0
1985,New Zealand,561.0
1985,Nicaragua,0.0
1985,Northern America,17147.0
1985,Norway,897.0
1985,Oceania,3348.0
1985,Panama,0.0
1985,Patent Office of the Cooperation Council for the Arab States of the Gulf,0.0
1985,Peru,0.0
1985,Philippines,275.0
1985,Poland,887.0
1985,Portugal,489.0
1985,Republic of Korea,1530.0
1985,Republic of Moldova,0.0
1985,Romania,383.0
1985,Russian Federation,0.0
1985,San Marino,0.0
1985,Saudi Arabia,0.0
1985,Serbia,0.0
1985,Singapore,272.0
1985,Slovakia,0.0
1985,Slovenia,0.0
1985,South Africa,1335.0
1985,Soviet Union,9748.0
1985,Spain,1771.0
1985,Sweden,994.0
1985,Switzerland,1155.0
1985,Tajikistan,0.0
1985,Tunisia,0.0
1985,Türkiye,46.0
1985,Ukraine,0.0
1985,United Kingdom,4507.0
1985,United States of America,13540.0
1985,Uruguay,0.0
1985,Uzbekistan,0.0
1985,Viet Nam,2.0
1985,World,138248.0
1985,Yugoslavia,240.0
1985,Zambia,12.0
1985,Zimbabwe,34.0
1986,Africa,1520.0
1986,African Intellectual Property Organization,24.0
1986,African Regional Intellectual Property Organization,7.0
1986,Algeria,0.0
1986,Argentina,0.0
1986,Armenia,0.0
1986,Asia,64282.0
1986,Australia,3038.0
1986,Austria,462.0
1986,Belarus,0.0
1986,Belgium,418.0
1986,Bosnia and Herzegovina,0.0
1986,Brazil,1190.0
1986,Bulgaria,301.0
1986,Canada,3255.0
1986,Chile,0.0
1986,China,1101.0
1986,"China, Hong Kong SAR",209.0
1986,Colombia,0.0
1986,Costa Rica,0.0
1986,Croatia,0.0
1986,Cuba,0.0
1986,Cyprus,14.0
1986,Czech Republic,0.0
1986,Czechoslovakia,551.0
1986,Denmark,1382.0
1986,Dominican Republic,1.0
1986,Ecuador,0.0
1986,Egypt,62.0
1986,El Salvador,0.0
1986,Estonia,0.0
1986,Eurasian Patent Organization,0.0
1986,Europe,52975.0
1986,European Patent Office,8617.0
1986,Finland,1104.0
1986,France,3686.0
1986,Georgia,0.0
1986,German Democratic Republic,1636.0
1986,Germany,7466.0
1986,Greece,529.0
1986,Guatemala,13.0
1986,Honduras,0.0
1986,Hungary,1030.0
1986,Iceland,11.0
1986,India,0.0
1986,Indonesia,0.0
1986,Ireland,630.0
1986,Israel,719.0
1986,Italy,2202.0
1986,Japan,60121.0
1986,Jordan,11.0
1986,Kazakhstan,0.0
1986,Kenya,16.0
1986,Latin America and the Caribbean,1391.0
1986,Latvia,0.0
1986,Lithuania,0.0
1986,Luxembourg,100.0
1986,Malawi,8.0
1986,Malaysia,137.0
1986,Malta,3.0
1986,Mexico,187.0
1986,Monaco,31.0
1986,Mongolia,4.0
1986,Montenegro,0.0
1986,Morocco,40.0
1986,Netherlands (Kingdom of the),628.0
1986,New Zealand,496.0
1986,Nicaragua,0.0
1986,Northern America,17476.0
1986,Norway,1379.0
1986,Oceania,3534.0
1986,Panama,0.0
1986,Patent Office of the Cooperation Council for the Arab States of the Gulf,0.0
1986,Peru,0.0
1986,Philippines,265.0
1986,Poland,754.0
1986,Portugal,547.0
1986,Republic of Korea,1596.0
1986,Republic of Moldova,0.0
1986,Romania,293.0
1986,Russian Federation,0.0
1986,San Marino,0.0
1986,Saudi Arabia,0.0
1986,Serbia,0.0
1986,Singapore,74.0
1986,Slovakia,0.0
1986,Slovenia,0.0
1986,South Africa,1310.0
1986,Soviet Union,10945.0
1986,Spain,1774.0
1986,Sweden,868.0
1986,Switzerland,1033.0
1986,Tajikistan,0.0
1986,Tunisia,0.0
1986,Türkiye,30.0
1986,Ukraine,0.0
1986,United Kingdom,4286.0
1986,United States of America,14221.0
1986,Uruguay,0.0
1986,Uzbekistan,0.0
1986,Viet Nam,1.0
1986,World,142872.0
1986,Yugoslavia,309.0
1986,Zambia,18.0
1986,Zimbabwe,35.0
1987,Africa,1478.0
1987,African Intellectual Property Organization,82.0
1987,African Regional Intellectual Property Organization,7.0
1987,Algeria,0.0
1987,Argentina,0.0
1987,Armenia,0.0
1987,Asia,67973.0
1987,Australia,3172.0
1987,Austria,457.0
1987,Belarus,0.0
1987,Belgium,166.0
1987,Bosnia and Herzegovina,0.0
1987,Brazil,1262.0
1987,Bulgaria,292.0
1987,Canada,2783.0
1987,Chile,0.0
1987,China,1784.0
1987,"China, Hong Kong SAR",206.0
1987,Colombia,0.0
1987,Costa Rica,0.0
1987,Croatia,0.0
1987,Cuba,40.0
1987,Cyprus,28.0
1987,Czech Republic,0.0
1987,Czechoslovakia,1465.0
1987,Denmark,1580.0
1987,Dominican Republic,3.0
1987,Ecuador,0.0
1987,Egypt,37.0
1987,El Salvador,0.0
1987,Estonia,0.0
1987,Eurasian Patent Organization,0.0
1987,Europe,52163.0
1987,European Patent Office,9387.0
1987,Finland,1189.0
1987,France,3690.0
1987,Georgia,0.0
1987,German Democratic Republic,1573.0
1987,Germany,7130.0
1987,Greece,149.0
1987,Guatemala,8.0
1987,Honduras,0.0
1987,Hungary,888.0
1987,Iceland,18.0
1987,India,0.0
1987,Indonesia,0.0
1987,Ireland,645.0
1987,Israel,779.0
1987,Italy,1711.0
1987,Japan,62434.0
1987,Jordan,0.0
1987,Kazakhstan,0.0
1987,Kenya,24.0
1987,Latin America and the Caribbean,1538.0
1987,Latvia,0.0
1987,Lithuania,0.0
1987,Luxembourg,63.0
1987,Malawi,12.0
1987,Malaysia,146.0
1987,Malta,2.0
1987,Mexico,225.0
1987,Monaco,18.0
1987,Mongolia,2.0
1987,Montenegro,0.0
1987,Morocco,43.0
1987,Netherlands (Kingdom of the),587.0
1987,New Zealand,474.0
1987,Nicaragua,0.0
1987,Northern America,20544.0
1987,Norway,1193.0
1987,Oceania,3646.0
1987,Panama,0.0
1987,Patent Office of the Cooperation Council for the Arab States of the Gulf,0.0
1987,Peru,0.0
1987,Philippines,260.0
1987,Poland,529.0
1987,Portugal,541.0
1987,Republic of Korea,2158.0
1987,Republic of Moldova,0.0
1987,Romania,446.0
1987,Russian Federation,0.0
1987,San Marino,0.0
1987,Saudi Arabia,0.0
1987,Serbia,0.0
1987,Singapore,143.0
1987,Slovakia,0.0
1987,Slovenia,0.0
1987,South Africa,1236.0
1987,Soviet Union,10894.0
1987,Spain,1546.0
1987,Sweden,847.0
1987,Switzerland,857.0
1987,Tajikistan,0.0
1987,Tunisia,0.0
1987,Türkiye,30.0
1987,Ukraine,0.0
1987,United Kingdom,4036.0
1987,United States of America,17761.0
1987,Uruguay,0.0
1987,Uzbekistan,0.0
1987,Viet Nam,3.0
1987,World,149187.0
1987,Yugoslavia,264.0
1987,Zambia,6.0
1987,Zimbabwe,31.0
1988,Africa,1337.0
1988,African Intellectual Property Organization,61.0
1988,African Regional Intellectual Property Organization,8.0
1988,Algeria,0.0
1988,Argentina,0.0
1988,Armenia,0.0
1988,Asia,72337.0
1988,Australia,3633.0
1988,Austria,420.0
1988,Belarus,0.0
1988,Belgium,90.0
1988,Bosnia and Herzegovina,0.0
1988,Brazil,1391.0
1988,Bulgaria,287.0
1988,Canada,3265.0
1988,Chile,0.0
1988,China,1328.0
1988,"China, Hong Kong SAR",207.0
1988,Colombia,0.0
1988,Costa Rica,0.0
1988,Croatia,0.0
1988,Cuba,4.0
1988,Cyprus,12.0
1988,Czech Republic,0.0
1988,Czechoslovakia,1070.0
1988,Denmark,1706.0
1988,Dominican Republic,3.0
1988,Ecuador,0.0
1988,Egypt,9.0
1988,El Salvador,0.0
1988,Estonia,0.0
1988,Eurasian Patent Organization,0.0
1988,Europe,51073.0
1988,European Patent Office,9792.0
1988,Finland,1189.0
1988,France,3713.0
1988,Georgia,0.0
1988,German Democratic Republic,1496.0
1988,Germany,6757.0
1988,Greece,55.0
1988,Guatemala,7.0
1988,Honduras,0.0
1988,Hungary,770.0
1988,Iceland,18.0
1988,India,0.0
1988,Indonesia,0.0
1988,Ireland,755.0
1988,Israel,934.0
1988,Italy,1655.0
1988,Japan,66230.0
1988,Jordan,9.0
1988,Kazakhstan,0.0
1988,Kenya,14.0
1988,Latin America and the Caribbean,1928.0
1988,Latvia,0.0
1988,Lithuania,0.0
1988,Luxembourg,62.0
1988,Malawi,4.0
1988,Malaysia,43.0
1988,Malta,2.0
1988,Mexico,523.0
1988,Monaco,13.0
1988,Mongolia,0.0
1988,Montenegro,0.0
1988,Morocco,38.0
1988,Netherlands (Kingdom of the),581.0
1988,New Zealand,629.0
1988,Nicaragua,0.0
1988,Northern America,20028.0
1988,Norway,1190.0
1988,Oceania,4262.0
1988,Panama,0.0
1988,Patent Office of the Cooperation Council for the Arab States of the Gulf,0.0
1988,Peru,0.0
1988,Philippines,298.0
1988,Poland,979.0
1988,Portugal,375.0
1988,Republic of Korea,3067.0
1988,Republic of Moldova,0.0
1988,Romania,387.0
1988,Russian Federation,0.0
1988,San Marino,0.0
1988,Saudi Arabia,0.0
1988,Serbia,0.0
1988,Singapore,164.0
1988,Slovakia,0.0
1988,Slovenia,0.0
1988,South Africa,1162.0
1988,Soviet Union,10698.0
1988,Spain,994.0
1988,Sweden,731.0
1988,Switzerland,868.0
1988,Tajikistan,0.0
1988,Tunisia,0.0
1988,Türkiye,44.0
1988,Ukraine,0.0
1988,United Kingdom,3980.0
1988,United States of America,16763.0
1988,Uruguay,0.0
1988,Uzbekistan,0.0
1988,Viet Nam,1.0
1988,World,153445.0
1988,Yugoslavia,440.0
1988,Zambia,16.0
1988,Zimbabwe,25.0
1989,Africa,1353.0
1989,African Intellectual Property Organization,63.0
1989,African Regional Intellectual Property Organization,11.0
1989,Algeria,0.0
1989,Argentina,0.0
1989,Armenia,0.0
1989,Asia,74722.0
1989,Australia,3973.0
1989,Austria,403.0
1989,Belarus,0.0
1989,Belgium,224.0
1989,Bosnia and Herzegovina,0.0
1989,Brazil,1249.0
1989,Bulgaria,310.0
1989,Canada,3190.0
1989,Chile,0.0
1989,China,1514.0
1989,"China, Hong Kong SAR",219.0
1989,Colombia,0.0
1989,Costa Rica,0.0
1989,Croatia,0.0
1989,Cuba,0.0
1989,Cyprus,24.0
1989,Czech Republic,0.0
1989,Czechoslovakia,940.0
1989,Denmark,1561.0
1989,Dominican Republic,5.0
1989,Ecuador,0.0
1989,Egypt,41.0
1989,El Salvador,0.0
1989,Estonia,0.0
1989,Eurasian Patent Organization,0.0
1989,Europe,52259.0
1989,European Patent Office,11029.0
1989,Finland,1300.0
1989,France,3653.0
1989,Georgia,0.0
1989,German Democratic Republic,1679.0
1989,Germany,6866.0
1989,Greece,75.0
1989,Guatemala,18.0
1989,Honduras,0.0
1989,Hungary,722.0
1989,Iceland,22.0
1989,India,0.0
1989,Indonesia,0.0
1989,Ireland,824.0
1989,Israel,788.0
1989,Italy,1733.0
1989,Japan,67928.0
1989,Jordan,9.0
1989,Kazakhstan,0.0
1989,Kenya,21.0
1989,Latin America and the Caribbean,1636.0
1989,Latvia,0.0
1989,Lithuania,0.0
1989,Luxembourg,66.0
1989,Malawi,6.0
1989,Malaysia,27.0
1989,Malta,2.0
1989,Mexico,363.0
1989,Monaco,29.0
1989,Mongolia,9.0
1989,Montenegro,0.0
1989,Morocco,38.0
1989,Netherlands (Kingdom of the),582.0
1989,New Zealand,798.0
1989,Nicaragua,0.0
1989,Northern America,24051.0
1989,Norway,1038.0
1989,Oceania,4771.0
1989,Panama,0.0
1989,Patent Office of the Cooperation Council for the Arab States of the Gulf,0.0
1989,Peru,0.0
1989,Philippines,305.0
1989,Poland,1149.0
1989,Portugal,910.0
1989,Republic of Korea,3653.0
1989,Republic of Moldova,0.0
1989,Romania,274.0
1989,Russian Federation,0.0
1989,San Marino,0.0
1989,Saudi Arabia,0.0
1989,Serbia,0.0
1989,Singapore,180.0
1989,Slovakia,0.0
1989,Slovenia,0.0
1989,South Africa,1133.0
1989,Soviet Union,10117.0
1989,Spain,1193.0
1989,Sweden,723.0
1989,Switzerland,807.0
1989,Tajikistan,0.0
1989,Tunisia,0.0
1989,Türkiye,65.0
1989,Ukraine,0.0
1989,United Kingdom,3697.0
1989,United States of America,20861.0
1989,Uruguay,1.0
