Series Name,Series Code,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Brazil,BRA,0.963429987,1.002460003,0.988070011,1.08138001,1.129040003,1.118659973,1.159919977,1.139660001,1.126839995,1.195670009,1.269709945,1.370929956,1.286370039,1.117499948,1.167690039,1.210960031,1.145259976,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Brunei Darussalam,BRN,0.037009999,..,..,..,..,..,..,..,..,..,..,..,..,..,0.277630001,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Bulgaria,BGR,0.470860004,0.442690015,0.44216001,0.430029988,0.447310001,0.49338001,0.563069999,0.529510021,0.600359976,0.634329975,0.79005003,0.949169993,0.769760013,0.739950001,0.753790021,0.832360029,0.849240005,0.772599995,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Burkina Faso,BFA,0.21514,0.151659995,..,0.098360002,0.165680006,0.177870005,..,..,..,..,0.197190002,..,..,0.613610029,..,0.172780007,0.248239994,0.250059992,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Burundi,BDI,..,..,..,0.200680003,0.154170007,0.140959993,0.137189999,..,0.107019998,..,..,..,..,..,0.213119999,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,0.06622,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,0.11823,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Canada,CAN,1.997339964,1.971269965,1.943040013,1.90357995,1.855780005,1.91742003,1.825279951,1.787140012,1.772320032,1.70539999,1.714169979,1.693240047,1.729030013,1.687019944,1.737200022,1.755730033,1.894840002,1.697270036,1.55182004,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,0.300500005,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Chile,CHL,..,..,..,0.311430007,0.374920011,0.354030013,0.331649989,0.352880001,0.362129986,0.390300006,0.376679987,0.382959992,0.371030003,0.356790006,0.369159997,0.342049986,0.334960014,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,China,CHN,1.214980006,1.307919979,1.368540049,1.373690009,1.445919991,1.664800048,1.713719964,1.780339956,1.912140012,1.997859955,2.022429943,2.057009935,2.100330114,2.116029978,2.140579939,2.244630098,2.40666008,2.432600021,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Colombia,COL,0.169640005,0.165570006,0.164269999,0.183070004,0.195409998,0.193509996,0.193580002,0.198420003,0.221159995,0.257609993,0.303169996,0.365420014,0.270509988,0.26109001,0.312330008,0.32201001,0.289609998,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Congo, Dem. Rep.",COD,0.267769992,0.05799,0.06044,0.136089996,0.082529999,0.078220002,..,..,..,..,..,0.406379998,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.414900005,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Costa Rica,CRI,0.372880012,..,0.42693001,0.356550008,0.385930002,0.517180026,0.479900002,0.462350011,0.547129989,0.54253,0.556270003,0.436650008,0.443349987,0.425870001,0.371439993,..,0.33002001,0.27531001,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..,0.069750004,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Croatia,HRV,1.020020008,0.847760022,0.733129978,0.784929991,0.878009975,0.835070014,0.732339978,0.738470018,0.739560008,0.798169971,0.772589982,0.828159988,0.849950016,0.847270012,0.951250017,1.079630017,1.242609978,1.244850039,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cuba,CUB,0.602310002,0.549199998,0.441390008,0.436150014,0.500609994,0.614849985,0.607670009,0.271919996,0.407160014,0.474669993,0.415960014,0.428539991,0.342229992,0.430660009,0.536909997,0.553080022,0.518379986,0.322820008,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cyprus,CYP,0.335640013,0.367269993,0.383459985,0.400070012,0.385939986,0.444370002,0.442919999,0.452630013,0.437649995,0.484849989,0.512049973,0.47529,0.519699991,0.542590022,0.614049971,0.709500015,0.843869984,0.83059001,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Czechia,CZE,1.139350057,1.161000013,1.225419998,1.295719981,1.233579993,1.286560059,1.326699972,1.544770002,1.76967001,1.879240036,1.958330035,1.916890025,1.670029998,1.768550038,1.899060011,1.927340031,1.985990047,1.996009946,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Denmark,DNK,2.419159889,2.393369913,2.403000116,2.515409946,2.773459911,3.055140018,2.917069912,2.944649935,2.981250048,2.970479965,2.914089918,3.054970026,3.092829943,2.931240082,2.966029882,2.896850109,2.968729973,2.812619925,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ecuador,ECU,..,..,0.128629997,0.131940007,0.227789998,0.394630015,0.402969986,0.339910001,0.332359999,0.379900008,0.442660004,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Egypt, Arab Rep.",EGY,0.269939989,0.241410002,0.259030014,0.255100012,0.270240009,0.433120012,0.433450013,0.531539977,0.50898999,0.63894999,0.636489987,0.718580008,0.70848,0.644860029,0.688390017,0.796169996,0.915639997,0.911750019,1.019680023,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,El Salvador,SLV,..,..,..,0.105599999,0.133990005,0.090899996,0.078060001,0.035500001,0.033969998,0.063869998,0.093769997,0.143480003,0.144930005,0.180779994,0.165309995,0.174769998,0.162939996,0.160260007,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Estonia,EST,0.845839977,0.917050004,1.112769961,1.05874002,1.25188005,1.396790028,1.578989983,2.305219889,2.12480998,1.724120021,1.430230021,1.46776998,1.243059993,1.276849985,1.409989953,1.631459951,1.750920057,1.752150059,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ethiopia,ETH,..,0.179169998,..,0.170890003,..,..,0.241370007,..,..,0.604740024,..,..,..,0.274370015,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Finland,FIN,3.30907011,3.323699951,3.332149982,3.337039948,3.5369699,3.734019995,3.705319881,3.618060112,3.39831996,3.271369934,3.147510052,2.871959925,2.724420071,2.727869987,2.75748992,2.7996099,2.912430048,2.989340067,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,France,FRA,2.094609976,2.051510096,2.050940037,2.024509907,2.061170101,2.212069988,2.178570032,2.191610098,2.227070093,2.237030029,2.275919914,2.227020025,2.222379923,2.198879957,2.196660042,2.191790104,2.281889915,2.219180107,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Gabon,GAB,..,..,..,0.41633001,0.510900021,0.579240024,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Gambia, The",GMB,..,..,..,..,0.01261,0.01086,..,0.084799998,..,..,..,..,..,..,0.069329999,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Georgia,GEO,0.244200006,0.176579997,..,..,..,..,..,..,..,0.078560002,0.173179999,0.299279988,0.285860002,0.270229995,0.280519992,0.284680009,0.300799996,0.251740009,0.238319993,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Germany,DEU,2.435189962,2.441930056,2.47232008,2.460479975,2.615129948,2.742660046,2.730240107,2.805550098,2.881659985,2.835989952,2.877840042,2.933789968,2.94039011,3.047100067,3.110110044,3.167789936,3.129790068,3.142460108,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ghana,GHA,..,..,..,0.231570005,..,..,0.376549989,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Greece,GRC,0.5273,0.578960001,0.561179996,0.576550007,0.661830008,0.625569999,0.603470027,0.684260011,0.710049987,0.814779997,0.839980006,0.966050029,1.005290031,1.152279973,1.21370995,1.274960041,1.50793004,1.456419945,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Greenland,GRL,0.646080017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guam,GUM,0.255180001,0.256099999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guatemala,GTM,..,0.035560001,0.050099999,0.067819998,0.062899999,0.056200001,0.044210002,0.048939999,0.045430001,0.039159998,0.02949,0.03064,0.02311,0.029549999,0.029379999,0.026419999,0.04888,0.058630001,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Honduras,HND,0.041549999,..,..,..,..,..,..,..,..,..,..,0.01497,..,0.03994,0.063940004,0.05948,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Hong Kong SAR, China",HKG,0.721759975,0.77342999,0.794679999,0.751609981,0.719959974,0.773419976,0.749459982,0.720860004,0.727330029,0.730170012,0.740140021,0.761829972,0.791499972,0.835189998,0.863300025,0.925570011,0.992359996,0.970380008,1.069479942,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Hungary,HUN,0.859899998,0.919510007,0.977400005,0.954450011,0.977569997,1.128020048,1.12864995,1.179250002,1.254230022,1.38409996,1.344599962,1.339589953,1.179870009,1.317020059,1.507750034,1.472910047,1.59315002,1.64230001,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Iceland,ISL,..,2.679689884,2.852659941,2.532939911,2.464139938,2.59713006,..,2.403670073,..,1.692379951,1.936159968,2.181319952,2.110110044,2.084130049,2.000809908,2.341650009,2.490689993,2.805419922,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,India,IND,0.756900012,0.824109972,0.804729998,0.805069983,0.858759999,0.833140016,0.788489997,0.755020022,0.743990004,0.706420004,0.701590002,0.693099976,0.669839978,0.66602999,0.66000998,0.659420013,0.64635998,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Indonesia,IDN,..,..,..,..,..,0.083319999,..,..,..,0.084700003,..,..,0.245350003,0.238049999,0.226319999,0.271290004,0.280680001,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Iran, Islamic Rep.",IRN,0.504530013,0.622839987,0.559210002,..,0.64647001,0.272579998,0.264420003,..,0.294349998,0.23601,..,0.393830001,..,0.759829998,..,0.788290024,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Iraq,IRQ,..,..,..,0.045540001,0.03435,0.045620002,0.036839999,0.034759998,..,..,0.038350001,0.040169999,0.03737,0.045960002,0.042789999,0.03266,0.04053,0.04109,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ireland,IRL,1.177780032,1.191969991,1.198869944,1.234079957,1.391260028,1.613710046,1.594769955,1.552620053,1.556750059,1.567579985,1.52098,1.182119966,1.175070047,1.251870036,1.167199969,1.225270033,1.232519984,1.130929947,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Israel,ISR,3.749030113,3.922820091,4.019979954,4.299980164,4.255119801,4.045159817,3.863290071,3.93520999,4.080520153,4.025990009,4.110610008,4.214630127,4.471739769,4.624149799,4.776130199,5.215640068,5.705550194,5.556749821,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Italy,ITA,1.050250053,1.044350028,1.084010005,1.128990054,1.159719944,1.217869997,1.217970014,1.201550007,1.262189984,1.301069975,1.338400006,1.338500023,1.366420031,1.370129943,1.424430013,1.461590052,1.506800056,1.453920007,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Japan,JPN,2.981250048,3.130919933,3.227659941,3.292570114,3.292239904,3.195899963,3.104949951,3.205369949,3.173710108,3.27895999,3.367880106,3.24071002,3.106659889,3.166359901,3.219199896,3.218240023,3.268970013,3.295809984,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Jordan,JOR,..,..,..,..,0.421539992,..,..,..,..,..,..,..,0.695469975,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kazakhstan,KAZ,0.248370007,0.283609986,0.242809996,0.208839998,0.216539994,0.22924,0.153410003,0.153490007,0.165250003,0.171320006,0.167219996,0.169510007,0.141790003,0.126670003,0.116829999,0.118409999,0.126019999,0.130229995,0.119740002,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kenya,KEN,..,..,..,0.355210006,..,..,0.692219973,..,..,..,..,..,..,..,..,..,..,..,0.410189986,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Korea, Rep.",KOR,2.442140102,2.522900105,2.719340086,2.872580051,2.988869905,3.146689892,3.315779924,3.591989994,3.850399971,3.951240063,4.077859879,3.978199959,3.987040043,4.292059898,4.516329765,4.627029896,4.795710087,4.930119991,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kuwait,KWT,0.130099997,0.100830004,0.084789999,0.08585,0.085510001,0.112130001,0.101400003,0.098959997,0.097209997,0.301530004,0.427049994,0.096600004,0.079850003,0.080399998,0.063490003,0.191459998,0.186609998,..,0.079640001,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kyrgyz Republic,KGZ,0.199259996,0.198609993,0.230140001,0.234249994,0.190170005,0.15997,0.155469999,0.156330004,0.166099995,0.14914,0.125359997,0.119029999,0.111210003,0.107069999,0.101070002,0.090159997,0.088809997,0.075149998,0.076849997,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Latvia,LVA,0.398400009,0.527069986,0.646910012,0.551069975,0.577199996,0.448579997,0.60571003,0.715619981,0.663070023,0.613210022,0.68908,0.619400024,0.435140014,0.511039972,0.638689995,0.636269987,0.729910016,0.740920007,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Lesotho,LSO,0.055319998,..,..,..,..,0.029100001,..,0.01255,..,..,..,0.051010001,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Lithuania,LTU,0.751399994,0.748210013,0.79203999,0.801739991,0.789319992,0.830839992,0.783299983,0.902689993,0.893040001,0.948719978,1.030110002,1.043409944,0.842410028,0.896260023,0.936619997,0.993529975,1.13361001,1.11074996,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Luxembourg,LUX,1.58818996,1.558730006,1.648859978,1.571650028,1.546630025,1.588389993,1.423730016,1.424530029,1.206640005,1.233809948,1.217000008,1.25225997,1.266899943,1.238980055,1.171800017,1.18287003,1.091500044,1.042150021,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Macao SAR, China",MAC,0.053440001,0.0876,0.082900003,0.056839999,0.101060003,0.05407,0.05012,0.044270001,0.04789,0.051169999,0.087760001,0.136490002,0.234919995,0.171900004,0.200790003,0.246659994,0.451200008,0.383659989,0.48627001,..
