Series Name,Series Code,Country Name,Country Code,Ease of doing business score (0 = lowest performance to 100 = best performance),Research and development expenditure (% of GDP)
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Colombia,COL,70.05964,0.32201001
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Comoros,COM,47.87291,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,"Congo, Dem. Rep.",COD,36.20973,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,"Congo, Rep.",COG,39.53359,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Costa Rica,CRI,69.2383,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Cote d'Ivoire,CIV,60.68796,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Croatia,HRV,73.62096,1.079630017
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Cuba,CUB,..,0.553080022
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Curacao,CUW,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Cyprus,CYP,73.35105,0.709500015
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Czechia,CZE,76.34054,1.927340031
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Denmark,DNK,85.28856,2.896850109
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Djibouti,DJI,60.49674,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Dominica,DMA,60.54797,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Dominican Republic,DOM,59.98867,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Ecuador,ECU,57.7227,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,"Egypt, Arab Rep.",EGY,60.05364,0.796169996
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,El Salvador,SLV,65.25247,0.174769998
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Equatorial Guinea,GNQ,41.05286,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Eritrea,ERI,21.5998,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Estonia,EST,80.61685,1.631459951
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Ethiopia,ETH,47.97613,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Faroe Islands,FRO,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Fiji,FJI,61.47892,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Finland,FIN,80.17834,2.7996099
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,France,FRA,76.80465,2.191790104
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,French Polynesia,PYF,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Gabon,GAB,45.0251,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,"Gambia, The",GMB,50.29381,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Georgia,GEO,83.73393,0.284680009
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Germany,DEU,79.71004,3.167789936
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Ghana,GHA,59.96017,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Gibraltar,GIB,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Greece,GRC,68.42391,1.274960041
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Greenland,GRL,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Grenada,GRD,53.44488,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Guam,GUM,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Guatemala,GTM,62.59562,0.026419999
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Guinea,GIN,49.42922,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Guinea-Bissau,GNB,43.23319,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Guyana,GUY,55.49196,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Haiti,HTI,40.72493,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Honduras,HND,56.26791,0.05948
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,"Hong Kong SAR, China",HKG,85.3154,0.925570011
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Hungary,HUN,73.41584,1.472910047
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Iceland,ISL,78.96154,2.341650009
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,India,IND,71.04511,0.659420013
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Indonesia,IDN,69.57879,0.271290004
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,"Iran, Islamic Rep.",IRN,58.54658,0.788290024
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Iraq,IRQ,44.70443,0.03266
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Ireland,IRL,79.57614,1.225270033
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Isle of Man,IMN,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Israel,ISR,76.67572,5.215640068
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Italy,ITA,72.85055,1.461590052
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Jamaica,JAM,69.67997,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Japan,JPN,77.99983,3.218240023
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Jordan,JOR,68.97453,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Kazakhstan,KAZ,79.55915,0.118409999
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Kenya,KEN,73.21648,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Kiribati,KIR,46.93884,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,"Korea, Dem. People's Rep.",PRK,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,"Korea, Rep.",KOR,84.00083,4.627029896
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Kosovo,XKX,73.18473,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Kuwait,KWT,67.40473,0.191459998
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Kyrgyz Republic,KGZ,67.82089,0.090159997
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Lao PDR,LAO,50.82456,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Latvia,LVA,80.28054,0.636269987
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Lebanon,LBN,54.3316,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Lesotho,LSO,59.4294,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Liberia,LBR,43.22747,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Libya,LBY,32.68552,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Liechtenstein,LIE,64.84421,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Lithuania,LTU,81.61948,0.993529975
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Luxembourg,LUX,69.6031,1.18287003
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,"Macao SAR, China",MAC,..,0.246659994
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,North Macedonia,MKD,80.74807,0.367830008
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Madagascar,MDG,47.72865,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Malawi,MWI,60.9371,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Malaysia,MYS,81.47337,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Maldives,MDV,53.27453,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Mali,MLI,52.94472,0.157680005
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Malta,MLT,66.13941,0.56427002
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Marshall Islands,MHL,50.8911,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Mauritania,MRT,51.06288,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Mauritius,MUS,81.46811,0.35699001
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Mexico,MEX,72.35556,0.283939987
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,"Micronesia, Fed. Sts.",FSM,48.10341,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Moldova,MDA,74.39091,0.241449997
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Monaco,MCO,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Mongolia,MNG,67.77262,0.092699997
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Montenegro,MNE,73.81891,0.363279998
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Morocco,MAR,73.38133,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Mozambique,MOZ,54.9955,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Myanmar,MMR,46.82775,0.089259997
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Namibia,NAM,61.35078,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Nauru,NRU,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Nepal,NPL,63.1866,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Netherlands,NLD,76.10376,2.184350014
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,New Caledonia,NCL,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,New Zealand,NZL,86.76465,1.406409979
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Nicaragua,NIC,54.38673,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Niger,NER,56.75932,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Nigeria,NGA,56.87589,0.284440011
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Northern Mariana Islands,MNP,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Norway,NOR,82.62729,2.135999918
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Oman,OMN,69.98474,0.272549987
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Pakistan,PAK,60.95491,0.17475
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Palau,PLW,53.69982,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Panama,PAN,66.56045,0.136240005
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Papua New Guinea,PNG,59.77357,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Paraguay,PRY,59.05401,0.137510002
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Peru,PER,68.69658,0.156959996
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Philippines,PHL,62.82943,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Poland,POL,76.38122,1.323349953
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Portugal,PRT,76.46616,1.395619988
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Puerto Rico,PRI,70.06962,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Qatar,QAT,68.66573,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Romania,ROU,73.3332,0.47615999
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Russian Federation,RUS,78.16284,1.03531003
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Rwanda,RWA,76.48282,0.758729994
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Samoa,WSM,62.07404,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,San Marino,SMR,64.19133,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Sao Tome and Principe,STP,44.9711,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Saudi Arabia,SAU,70.87175,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Senegal,SEN,59.275,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Serbia,SRB,75.65345,0.886669993
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Seychelles,SYC,61.70497,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Sierra Leone,SLE,47.45831,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Singapore,SGP,86.1981,1.885059953
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Sint Maarten (Dutch part),SXM,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Slovak Republic,SVK,75.58542,0.822409987
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Slovenia,SVN,76.51751,2.041280031
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Solomon Islands,SLB,55.26279,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Somalia,SOM,20.03958,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,South Africa,ZAF,67.01897,0.614300013
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,South Sudan,SSD,34.62285,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Spain,ESP,77.93588,1.250249982
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Sri Lanka,LKA,61.80614,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,St. Kitts and Nevis,KNA,54.63689,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,St. Lucia,LCA,63.6504,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,St. Martin (French part),MAF,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,St. Vincent and the Grenadines,VCT,57.0869,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Sudan,SDN,44.82932,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Suriname,SUR,47.46427,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Eswatini,SWZ,59.49273,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Sweden,SWE,81.99155,3.387579918
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Switzerland,CHE,76.61864,3.196799994
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Syrian Arab Republic,SYR,41.96812,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Tajikistan,TJK,61.26761,0.093670003
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Tanzania,TZA,54.46329,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Thailand,THA,80.09233,1.143169999
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Timor-Leste,TLS,39.36487,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Togo,TGO,62.28934,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Tonga,TON,61.38921,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Trinidad and Tobago,TTO,61.29128,0.059409998
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Tunisia,TUN,68.65706,0.746580005
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Turkiye,TUR,76.79104,1.321460009
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Turkmenistan,TKM,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Turks and Caicos Islands,TCA,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Tuvalu,TUV,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Uganda,UGA,59.9818,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Ukraine,UKR,70.2106,0.433840007
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,United Arab Emirates,ARE,80.75261,1.310649991
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,United Kingdom,GBR,83.54968,2.665519953
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,United States,USA,83.99668,3.170490026
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Uruguay,URY,61.53994,0.426670015
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Uzbekistan,UZB,69.87898,0.113059998
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Vanuatu,VUT,61.05191,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,"Venezuela, RB",VEN,30.23634,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Viet Nam,VNM,69.76594,0.41652
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Virgin Islands (U.S.),VIR,..,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,West Bank and Gaza,PSE,59.97873,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,"Yemen, Rep.",YEM,31.76299,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Zambia,ZMB,66.93648,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Zimbabwe,ZWE,54.46935,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Africa Eastern and Southern,AFE,53.54069077,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Africa Western and Central,AFW,49.84334455,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Arab World,ARB,56.50468955,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Caribbean small states,CSS,56.89625727,..
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Central Europe and the Baltics,CEB,76.33505545,1.2455196
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Early-demographic dividend,EAR,58.12858148,0.762998712
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,East Asia & Pacific,EAS,65.95863138,2.394341908
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,East Asia & Pacific (excluding high income),EAP,60.331126,2.02398953
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,East Asia & Pacific (IDA & IBRD countries),TEA,60.01534952,2.02398953
Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,Euro area,EMU,75.955914,2.254692313
